Date,month,year,day of the week,Open,High,Low,Close,Adj Close,Volume
11-03-2021,Mar,2021,Thursday,74.93,77.779999,70.129997,73.900002,73.900002,59629300
12-03-2021,Mar,2021,Friday,72.470001,72.959999,69.110001,69.699997,69.699997,19714700
15-03-2021,Mar,2021,Monday,70.019997,74.059998,66.25,72.150002,72.150002,19549800
16-03-2021,Mar,2021,Tuesday,73.730003,78,73.18,77,77,30274400
17-03-2021,Mar,2021,Wednesday,76.029999,79.099998,74.889999,76.790001,76.790001,10054100
18-03-2021,Mar,2021,Thursday,76,77,66.800003,67.300003,67.300003,9627400
19-03-2021,Mar,2021,Friday,69.470001,72.699997,68.080002,70.5,70.5,6776500
22-03-2021,Mar,2021,Monday,71.809998,72.489998,69.540001,70,70,4238500
23-03-2021,Mar,2021,Tuesday,70.099998,71.75,67.629997,68,68,4456000
24-03-2021,Mar,2021,Wednesday,69.970001,70,64.010002,64.5,64.5,5460000
25-03-2021,Mar,2021,Thursday,62.009998,69.849998,60.689999,67.849998,67.849998,6283000
26-03-2021,Mar,2021,Friday,67.889999,71.199997,64.769997,70.970001,70.970001,4531200
29-03-2021,Mar,2021,Monday,69,69.089996,66.510002,67.029999,67.029999,4351600
30-03-2021,Mar,2021,Tuesday,66.980003,66.989998,64.474998,65.169998,65.169998,3394500
31-03-2021,Mar,2021,Wednesday,65.5,67.190002,64.57,64.830002,64.830002,4094900
01-04-2021,Apr,2021,Thursday,66.800003,69.669998,65.900002,67.339996,67.339996,4063100
05-04-2021,Apr,2021,Monday,70.139999,72.860001,68.559998,70.760002,70.760002,8609500
06-04-2021,Apr,2021,Tuesday,71.239998,72.389999,70.760002,71.32,71.32,3915500
07-04-2021,Apr,2021,Wednesday,70.699997,71.139999,67.879997,68.730003,68.730003,4424800
08-04-2021,Apr,2021,Thursday,69.470001,71.489998,68.839996,70.760002,70.760002,4244000
09-04-2021,Apr,2021,Friday,70.5,74.989998,70.205002,71.830002,71.830002,9245500
12-04-2021,Apr,2021,Monday,71.82,77,71.510002,75,75,8004100
13-04-2021,Apr,2021,Tuesday,74.690002,83.410004,73.510002,82.050003,82.050003,17893700
14-04-2021,Apr,2021,Wednesday,79.110001,80.57,74.051003,75.349998,75.349998,14785800
15-04-2021,Apr,2021,Thursday,75.5,80.75,74.559998,79.660004,79.660004,8841100
16-04-2021,Apr,2021,Friday,78,79.360001,75.120003,75.849998,75.849998,5156200
19-04-2021,Apr,2021,Monday,75.870003,78.300003,71.43,72,72,6637700
20-04-2021,Apr,2021,Tuesday,71.5,71.739998,67.300003,69.239998,69.239998,8393600
21-04-2021,Apr,2021,Wednesday,68.809998,71.989998,67.599998,71.760002,71.760002,4525000
22-04-2021,Apr,2021,Thursday,71.5,73.790001,69.099998,69.849998,69.849998,3372200
23-04-2021,Apr,2021,Friday,70.040001,72.379997,69.589996,71.779999,71.779999,2729300
26-04-2021,Apr,2021,Monday,72,75.919998,71.309998,74.900002,74.900002,4192700
27-04-2021,Apr,2021,Tuesday,74.769997,75.370003,72.330002,74.349998,74.349998,3200600
28-04-2021,Apr,2021,Wednesday,74.769997,76.93,73.639999,75.639999,75.639999,3084300
29-04-2021,Apr,2021,Thursday,76.709999,77.599998,72.830002,76.120003,76.120003,4374900
30-04-2021,Apr,2021,Friday,74.809998,76.989998,73.910004,74.550003,74.550003,2420200
03-05-2021,May,2021,Monday,74.860001,75.099998,70.610001,71.080002,71.080002,3212200
04-05-2021,May,2021,Tuesday,71,71.690002,67.657997,69.620003,69.620003,5379900
05-05-2021,May,2021,Wednesday,70.599998,70.879997,66.459999,66.589996,66.589996,4584800
06-05-2021,May,2021,Thursday,66.5,67,63.830002,65.059998,65.059998,6004200
07-05-2021,May,2021,Friday,67.010002,68.480003,66.199997,67.900002,67.900002,4808200
10-05-2021,May,2021,Monday,68.839996,69.290001,64,64,64,8124100
11-05-2021,May,2021,Tuesday,64.879997,77.787003,64.699997,77.650002,77.650002,30995000
12-05-2021,May,2021,Wednesday,74.209999,76,71.089996,75.529999,75.529999,20823900
13-05-2021,May,2021,Thursday,75.150002,75.150002,67.510002,69.68,69.68,17769500
14-05-2021,May,2021,Friday,71.199997,73.43,69.25,70.949997,70.949997,7676300
17-05-2021,May,2021,Monday,70.949997,76.970001,70.910004,76.93,76.93,16797600
18-05-2021,May,2021,Tuesday,76.699997,77.589996,73.480003,74.989998,74.989998,11688200
19-05-2021,May,2021,Wednesday,70.330002,76.269997,70.330002,75.220001,75.220001,10886300
20-05-2021,May,2021,Thursday,75.720001,76.910004,73.010002,76.330002,76.330002,10951000
21-05-2021,May,2021,Friday,77.480003,84.684998,77.309998,82.5,82.5,31672600
24-05-2021,May,2021,Monday,82.599998,89.639999,82.5,89.230003,89.230003,23117700
25-05-2021,May,2021,Tuesday,90,90.110001,85.510002,89.32,89.32,14314600
26-05-2021,May,2021,Wednesday,89.949997,95,88.75,89.709999,89.709999,17543500
27-05-2021,May,2021,Thursday,89.260002,97.5,87.589996,97.470001,97.470001,19850300
